job_title,years_of_experience,location,education_level,company_size,skills,salary_usd
Data Analyst,17,Israel,PhD,Small,"Spark, Docker, Linux, Tableau, AWS",110592.0
Machine Learning Engineer,5,Finland,Bachelor,Large,"R, Hadoop, Data Visualization",91571.0
Autonomous Systems Engineer,4,India,PhD,Large,"Python, Hadoop, Scala, Git",63941.0
NLP Engineer,0,Japan,Associate,Large,"Azure, Linux, Mathematics, Tableau",45303.0
Machine Learning Researcher,13,Singapore,Bachelor,Small,"Hadoop, Computer Vision, Java, Mathematics, Deep Learning",231990.0
Data Analyst,9,Finland,PhD,Medium,"Python, NLP, SQL, Linux",96415.0
ML Ops Engineer,1,Sweden,Master,Large,"GCP, Spark, Hadoop",68724.0
AI Architect,1,Israel,Master,Medium,"Data Visualization, SQL, Hadoop, GCP, Deep Learning",39127.0
Computer Vision Engineer,4,Singapore,Master,Medium,"SQL, Statistics, Kubernetes",94480.0
AI Consultant,17,Denmark,Master,Medium,"GCP, Kubernetes, Java",198321.0
Data Analyst,2,Ireland,Master,Large,"Python, MLOps, NLP, Java, GCP",88938.0
ML Ops Engineer,9,India,Associate,Large,"Kubernetes, MLOps, Python",106404.0
Deep Learning Engineer,9,Ireland,PhD,Small,"Python, TensorFlow, Linux",92286.0
Research Scientist,6,France,Bachelor,Large,"NLP, SQL, Python, Deep Learning, TensorFlow",166104.9
AI Architect,4,Japan,PhD,Medium,"GCP, Hadoop, AWS, Statistics, SQL",60128.0
NLP Engineer,1,Germany,PhD,Large,"Deep Learning, Mathematics, TensorFlow, Tableau, Data Visualization",100037.34
AI Specialist,6,Canada,PhD,Small,"Deep Learning, AWS, Computer Vision, Hadoop, R",128116.0
AI Software Engineer,15,Austria,Bachelor,Large,"Azure, Docker, Linux, Tableau",156174.0
AI Research Scientist,9,France,PhD,Medium,"Mathematics, AWS, Statistics, PyTorch",121878.9
AI Architect,16,Sweden,Master,Medium,"PyTorch, TensorFlow, Mathematics",199683.0
Data Analyst,1,Singapore,Bachelor,Large,"Deep Learning, Python, MLOps",97546.0
Machine Learning Researcher,4,China,Associate,Medium,"Python, SQL, Hadoop, Kubernetes",67132.0
Head of AI,2,Israel,PhD,Medium,"R, Linux, NLP, Mathematics, Statistics",77506.0
AI Research Scientist,1,Norway,Associate,Small,"Linux, SQL, Deep Learning, MLOps",74078.0
AI Product Manager,3,Finland,Associate,Large,"Linux, Python, SQL",65940.0
AI Research Scientist,4,Australia,Associate,Medium,"SQL, AWS, Deep Learning, PyTorch, Computer Vision",82425.0
AI Research Scientist,1,Germany,Master,Medium,"Java, Git, NLP",62922.6
Head of AI,9,Israel,Associate,Large,"Data Visualization, AWS, Hadoop, Linux, Deep Learning",121453.0
Research Scientist,2,Austria,Bachelor,Small,"Mathematics, MLOps, Computer Vision, Linux, NLP",57514.0
AI Product Manager,8,United Kingdom,PhD,Large,"TensorFlow, Hadoop, Docker, Mathematics",248618.7
AI Research Scientist,9,United Kingdom,Master,Small,"AWS, Python, Mathematics, TensorFlow",183249.0
Research Scientist,0,Japan,PhD,Small,"Mathematics, NLP, Tableau, Linux, TensorFlow",37774.0
AI Specialist,8,Austria,PhD,Large,"PyTorch, Mathematics, Tableau, Data Visualization, TensorFlow",115486.0
Deep Learning Engineer,0,India,Associate,Medium,"Azure, TensorFlow, SQL, Tableau",38637.0
Deep Learning Engineer,19,Ireland,Bachelor,Medium,"Hadoop, PyTorch, TensorFlow",163609.0
AI Specialist,0,Finland,PhD,Small,"SQL, TensorFlow, R",34174.0
Machine Learning Researcher,0,Australia,Associate,Large,"Data Visualization, SQL, Deep Learning",63724.0
Head of AI,1,Finland,Master,Large,"Hadoop, GCP, NLP, Linux, SQL",47715.0
AI Research Scientist,0,Ireland,PhD,Large,"R, Azure, Python, Spark, Scala",48152.0
AI Software Engineer,1,United Kingdom,PhD,Small,"Deep Learning, Spark, Kubernetes, Git, Python",100475.1
Data Analyst,1,India,Associate,Small,"Linux, Tableau, AWS, Java, PyTorch",39414.0
AI Architect,1,Japan,Master,Large,"Tableau, Python, Docker",58685.0
Deep Learning Engineer,9,Ireland,Master,Small,"Kubernetes, Hadoop, Data Visualization, NLP",69092.0
NLP Engineer,2,Australia,PhD,Large,"Python, TensorFlow, PyTorch",95706.0
ML Ops Engineer,2,Japan,Associate,Small,"Hadoop, AWS, R",50027.0
Machine Learning Researcher,1,Israel,PhD,Large,"Tableau, Java, Kubernetes, Azure, SQL",43498.0
Robotics Engineer,1,Canada,PhD,Medium,"Python, Computer Vision, NLP",75426.0
Computer Vision Engineer,19,Australia,PhD,Large,"Docker, Scala, Deep Learning, Python, Spark",259535.0
Data Engineer,12,France,Master,Medium,"PyTorch, Hadoop, SQL",267137.91
Data Scientist,0,Canada,Bachelor,Medium,"AWS, R, Statistics, SQL",58509.0
Robotics Engineer,10,United Kingdom,PhD,Small,"R, Linux, Java, Computer Vision",319492.35000000003
Data Analyst,4,Canada,Associate,Medium,"Git, Python, MLOps, Statistics, Deep Learning",73979.0
Data Scientist,0,Australia,Associate,Large,"Docker, Data Visualization, AWS, MLOps",69797.0
AI Architect,3,South Korea,Bachelor,Large,"Kubernetes, SQL, NLP, AWS, Deep Learning",63533.0
Research Scientist,17,Finland,Associate,Large,"Java, Kubernetes, Linux, Python, Computer Vision",171132.0
Head of AI,1,Norway,Bachelor,Small,"Python, Kubernetes, Spark",73586.0
Data Analyst,0,Switzerland,Associate,Large,"GCP, Kubernetes, Deep Learning",117499.0
AI Consultant,0,Sweden,Master,Small,"Spark, Hadoop, Python, Git, NLP",63608.0
Deep Learning Engineer,3,China,PhD,Medium,"AWS, Statistics, SQL, GCP",77481.0
Head of AI,10,Sweden,PhD,Small,"SQL, Deep Learning, PyTorch",228223.0
ML Ops Engineer,18,Ireland,PhD,Medium,"NLP, PyTorch, TensorFlow",143094.0
Research Scientist,12,Denmark,Bachelor,Large,"Python, Docker, Computer Vision",253257.0
Data Engineer,9,South Korea,Master,Medium,"Tableau, Python, MLOps",88152.0
Robotics Engineer,4,Sweden,PhD,Large,"Mathematics, Python, Linux",105675.0
Principal Data Scientist,5,Japan,Associate,Large,"Kubernetes, GCP, R",85522.0
AI Consultant,3,Canada,Master,Small,"Docker, Tableau, Hadoop, TensorFlow",91939.0
Machine Learning Researcher,0,Canada,Associate,Large,"Mathematics, Docker, Kubernetes",56259.0
Autonomous Systems Engineer,7,Sweden,Associate,Large,"Data Visualization, Scala, GCP, Python, Docker",168449.0
Data Scientist,0,India,Bachelor,Medium,"Python, Scala, Linux, SQL, Git",38337.0
ML Ops Engineer,9,Finland,Bachelor,Small,"Spark, Linux, MLOps, AWS",97183.0
Deep Learning Engineer,6,Canada,Master,Small,"SQL, PyTorch, Data Visualization, MLOps, NLP",122921.0
Deep Learning Engineer,16,Sweden,PhD,Small,"Linux, GCP, Scala, Java, NLP",211354.0
Autonomous Systems Engineer,5,Austria,Bachelor,Small,"Computer Vision, Kubernetes, Scala, Python, Deep Learning",70601.0
Machine Learning Researcher,1,Canada,PhD,Small,"Java, Computer Vision, NLP, R",66340.0
AI Consultant,8,Canada,PhD,Medium,"Scala, Linux, Tableau, MLOps, NLP",114752.0
AI Consultant,15,Israel,PhD,Large,"Java, Git, Deep Learning, Azure, MLOps",197148.0
AI Consultant,7,France,PhD,Small,"Mathematics, Statistics, MLOps",101869.56
Head of AI,3,Germany,Bachelor,Medium,"Spark, TensorFlow, MLOps, Computer Vision",106271.09999999999
Deep Learning Engineer,5,South Korea,PhD,Medium,"Linux, Python, Tableau",101851.0
Robotics Engineer,2,South Korea,Associate,Small,"PyTorch, SQL, NLP, Computer Vision, Mathematics",68785.0
Machine Learning Researcher,1,Germany,Associate,Medium,"Tableau, Linux, MLOps, Git",65201.759999999995
Autonomous Systems Engineer,3,France,Associate,Large,"PyTorch, Python, TensorFlow, MLOps",101409.75
Deep Learning Engineer,16,France,Associate,Small,"Mathematics, AWS, Computer Vision",230073.47999999998
Machine Learning Researcher,6,India,Associate,Large,"Linux, Docker, Deep Learning",112485.0
Principal Data Scientist,1,United States,PhD,Large,"SQL, Scala, Mathematics, Statistics, PyTorch",108843.0
AI Software Engineer,5,India,Master,Medium,"TensorFlow, GCP, Scala",107422.0
Machine Learning Engineer,0,Australia,Master,Small,"TensorFlow, Kubernetes, MLOps",59376.0
Robotics Engineer,2,Switzerland,Bachelor,Medium,"Azure, R, SQL, GCP, Hadoop",142895.0
Machine Learning Engineer,4,Australia,Master,Large,"Kubernetes, Deep Learning, PyTorch, Azure",99872.0
ML Ops Engineer,1,Austria,Master,Medium,"SQL, GCP, TensorFlow, Azure",38835.0
Data Analyst,15,Netherlands,Associate,Medium,"Azure, Java, Deep Learning, Kubernetes",298521.99
AI Specialist,0,Netherlands,PhD,Large,"Linux, PyTorch, Spark",110520.54
Principal Data Scientist,1,Finland,PhD,Small,"Python, Git, Linux, Docker",40845.0
Principal Data Scientist,1,Canada,PhD,Large,"AWS, Mathematics, Azure, Python, Data Visualization",82060.0
Deep Learning Engineer,0,China,Bachelor,Large,"Docker, R, GCP, NLP",59675.0
Data Engineer,0,Austria,PhD,Small,"Statistics, PyTorch, Deep Learning, R, Spark",50287.0
Machine Learning Engineer,14,Ireland,Master,Large,"Linux, NLP, Tableau, SQL, Statistics",123071.0
Robotics Engineer,2,Israel,PhD,Large,"Data Visualization, Kubernetes, Java, MLOps",72160.0
NLP Engineer,5,Australia,Bachelor,Small,"R, Git, NLP, Tableau, Statistics",117847.0
AI Architect,9,South Korea,Associate,Small,"NLP, TensorFlow, Scala, Statistics, Spark",84139.0
Machine Learning Researcher,4,France,Bachelor,Small,"Azure, PyTorch, Data Visualization, Tableau",98253.09
AI Research Scientist,4,Austria,Master,Large,"Statistics, MLOps, SQL, Linux",61820.0
Head of AI,16,Singapore,Master,Small,"NLP, SQL, Spark, Computer Vision, Kubernetes",234686.0
NLP Engineer,6,Germany,Bachelor,Large,"Hadoop, Python, Linux",155048.4
Head of AI,13,Ireland,PhD,Small,"Mathematics, SQL, TensorFlow, Azure, AWS",113713.0
Machine Learning Researcher,1,Ireland,Associate,Small,"Git, TensorFlow, Docker",47205.0
NLP Engineer,1,Singapore,Associate,Medium,"SQL, Deep Learning, Mathematics, PyTorch",63414.0
Head of AI,8,Finland,Bachelor,Large,"Computer Vision, Python, Linux",90027.0
AI Architect,6,South Korea,Associate,Medium,"R, Spark, Git, Hadoop, Tableau",82748.0
AI Software Engineer,5,South Korea,PhD,Large,"Computer Vision, PyTorch, Docker, TensorFlow",123543.0
AI Architect,9,India,Associate,Medium,"Python, Kubernetes, Git, Azure, Statistics",93554.0
Research Scientist,5,South Korea,Master,Large,"R, Git, MLOps, Azure, Python",111499.0
ML Ops Engineer,7,Finland,PhD,Small,"Java, Scala, Python, PyTorch, Deep Learning",89530.0
ML Ops Engineer,8,Germany,PhD,Small,"Deep Learning, TensorFlow, NLP, Java, Azure",122344.56
AI Research Scientist,7,Norway,Associate,Large,"Python, TensorFlow, Data Visualization, Kubernetes, Deep Learning",198915.0
AI Software Engineer,3,Switzerland,Bachelor,Large,"Mathematics, Python, Data Visualization, TensorFlow, Spark",159180.0
Data Scientist,10,India,Bachelor,Small,"R, Java, Linux, Python",144197.0
AI Software Engineer,0,Finland,Master,Large,"PyTorch, Scala, Java, Deep Learning, Kubernetes",50962.0
AI Architect,9,Singapore,Master,Large,"PyTorch, Python, R",152384.0
Head of AI,13,United Kingdom,Master,Large,"Kubernetes, R, AWS, Scala",313654.95
AI Product Manager,2,Japan,Bachelor,Small,"Python, Linux, Scala, Hadoop, TensorFlow",69472.0
ML Ops Engineer,4,United Kingdom,Bachelor,Small,"Statistics, PyTorch, AWS, TensorFlow",107563.95000000001
Machine Learning Engineer,15,Austria,PhD,Large,"R, Docker, Deep Learning, GCP, Azure",204055.0
Machine Learning Engineer,8,South Korea,Associate,Medium,"Python, Hadoop, Java",78460.0
AI Architect,1,Singapore,PhD,Small,"Mathematics, SQL, Data Visualization",62393.0
Deep Learning Engineer,2,Norway,PhD,Medium,"AWS, GCP, Python",117508.0
Autonomous Systems Engineer,9,Norway,PhD,Large,"Docker, Python, Java",169472.0
Robotics Engineer,4,Ireland,Master,Medium,"TensorFlow, Linux, Kubernetes, Scala",59494.0
AI Research Scientist,6,Denmark,Associate,Medium,"Docker, SQL, Azure, Kubernetes",141304.0
Robotics Engineer,19,Germany,Master,Medium,"SQL, Data Visualization, Scala",249417.09
Data Analyst,0,Sweden,Master,Small,"Spark, Linux, AWS, Mathematics",52005.0
Machine Learning Engineer,2,Denmark,Master,Large,"Python, Data Visualization, Git, TensorFlow, Spark",155889.0
Computer Vision Engineer,3,Singapore,PhD,Small,"Data Visualization, Computer Vision, R",78280.0
Data Analyst,4,Finland,Master,Small,"Kubernetes, Tableau, Python, NLP, Mathematics",64859.0
Computer Vision Engineer,3,Netherlands,Master,Medium,"Spark, Mathematics, Scala, Hadoop",94039.92
NLP Engineer,14,Netherlands,Bachelor,Small,"Mathematics, Statistics, Tableau, PyTorch, Linux",209975.22
AI Product Manager,8,Australia,Master,Medium,"TensorFlow, Scala, Data Visualization, Python",124687.0
Research Scientist,3,South Korea,Bachelor,Large,"Kubernetes, Linux, Mathematics, Python, Git",65679.0
AI Research Scientist,0,Ireland,Bachelor,Medium,"Git, AWS, MLOps, Python, Computer Vision",40124.0
Machine Learning Engineer,19,Netherlands,Associate,Large,"Python, Git, TensorFlow",341152.11
Data Analyst,1,Switzerland,PhD,Large,"Git, Mathematics, MLOps, Python, Scala",119291.0
Machine Learning Engineer,10,Australia,Master,Small,"Java, Kubernetes, PyTorch, Linux",189567.0
Machine Learning Engineer,10,Australia,Associate,Large,"Docker, SQL, Deep Learning",176467.0
AI Architect,7,Switzerland,Master,Large,"Azure, SQL, Data Visualization, Scala",240570.0
Data Engineer,7,Sweden,Bachelor,Small,"SQL, NLP, Tableau",105387.0
Research Scientist,2,Israel,Bachelor,Small,"SQL, Git, Java, Mathematics, Tableau",48949.0
AI Product Manager,4,India,Bachelor,Medium,"Kubernetes, SQL, TensorFlow",51548.0
Data Scientist,13,China,PhD,Medium,"Java, Tableau, Computer Vision",178652.0
Autonomous Systems Engineer,9,Finland,Associate,Large,"PyTorch, TensorFlow, Hadoop, Deep Learning, Docker",84973.0
Data Engineer,4,Singapore,PhD,Small,"Mathematics, GCP, Scala",98156.0
Data Analyst,1,United States,Bachelor,Large,"Hadoop, Java, Kubernetes",81594.0
Machine Learning Researcher,3,Finland,Associate,Large,"R, Tableau, SQL, Git, Deep Learning",73923.0
Data Scientist,4,Australia,PhD,Small,"Statistics, Azure, Deep Learning, Mathematics, Computer Vision",75459.0
AI Specialist,10,Canada,Bachelor,Large,"Scala, Hadoop, Tableau",186793.0
Computer Vision Engineer,3,United Kingdom,Associate,Medium,"Python, Tableau, Git, Data Visualization",130345.20000000001
Principal Data Scientist,5,South Korea,Master,Medium,"TensorFlow, Mathematics, Deep Learning, Azure, Linux",82240.0
AI Architect,2,Denmark,PhD,Large,"Git, GCP, Python, Kubernetes",116310.0
Autonomous Systems Engineer,8,Norway,Master,Small,"SQL, Linux, PyTorch, Tableau",159928.0
Deep Learning Engineer,0,Denmark,PhD,Small,"SQL, NLP, PyTorch, Git",68513.0
Machine Learning Researcher,0,China,Bachelor,Small,"Scala, NLP, Data Visualization",45999.0
Machine Learning Engineer,8,United Kingdom,PhD,Large,"Scala, SQL, Computer Vision, Deep Learning, Docker",247984.2
Machine Learning Researcher,1,India,Bachelor,Medium,"Scala, Git, Computer Vision, Hadoop",46188.0
AI Research Scientist,6,Netherlands,Master,Medium,"NLP, PyTorch, Tableau, Spark, Deep Learning",165484.8
Machine Learning Engineer,2,India,PhD,Medium,"Scala, Azure, Statistics, Linux, Computer Vision",60859.0
Autonomous Systems Engineer,8,Switzerland,Associate,Large,"Data Visualization, SQL, Docker, Mathematics",222536.0
Principal Data Scientist,1,Switzerland,PhD,Medium,"SQL, Java, Computer Vision, Kubernetes",78165.0
AI Specialist,4,Ireland,Master,Medium,"R, Computer Vision, SQL, GCP",51821.0
Data Engineer,8,India,Bachelor,Small,"TensorFlow, Python, Docker, Statistics, Deep Learning",90770.0
AI Research Scientist,13,Australia,Associate,Medium,"SQL, Hadoop, MLOps, Deep Learning, TensorFlow",219209.0
ML Ops Engineer,18,Singapore,Bachelor,Small,"MLOps, PyTorch, Java, Scala",150601.0
Machine Learning Engineer,3,Austria,PhD,Large,"AWS, Scala, Kubernetes, Deep Learning",72571.0
Autonomous Systems Engineer,2,China,Associate,Large,"SQL, Azure, Tableau",84035.0
Principal Data Scientist,9,United Kingdom,Master,Small,"SQL, MLOps, Tableau, Kubernetes",171221.85
AI Specialist,9,Finland,PhD,Medium,"Kubernetes, Computer Vision, Spark, Statistics",83776.0
Data Engineer,12,Germany,Associate,Medium,"Python, TensorFlow, Mathematics",220292.28
AI Product Manager,4,China,Master,Large,"Computer Vision, Linux, Scala",82981.0
AI Research Scientist,7,Netherlands,PhD,Medium,"Tableau, GCP, Statistics",187102.88999999998
AI Consultant,12,Norway,Associate,Small,"NLP, Python, GCP, Tableau",193451.0
Machine Learning Engineer,1,Denmark,Bachelor,Medium,"Kubernetes, NLP, Azure",72053.0
Principal Data Scientist,3,Israel,Associate,Medium,"R, PyTorch, AWS",51840.0
AI Architect,2,Switzerland,PhD,Large,"AWS, SQL, Python, TensorFlow",119975.0
Robotics Engineer,19,Singapore,Master,Large,"Statistics, AWS, TensorFlow, Python",251718.0
Head of AI,0,Austria,Associate,Large,"Python, Tableau, Data Visualization, Scala",62962.0
Data Scientist,2,Sweden,PhD,Large,"Data Visualization, Python, Mathematics",107125.0
Data Scientist,16,Singapore,Bachelor,Large,"AWS, Deep Learning, Tableau",306266.0
Data Analyst,1,India,Bachelor,Large,"Tableau, Data Visualization, Azure, GCP, Mathematics",48573.0
Data Scientist,1,Finland,PhD,Small,"PyTorch, SQL, NLP, Hadoop, GCP",33546.0
NLP Engineer,2,Australia,PhD,Medium,"Hadoop, Linux, Data Visualization",74504.0
AI Software Engineer,1,Israel,Master,Medium,"SQL, Scala, Azure",53292.0
Deep Learning Engineer,2,Ireland,Master,Large,"Linux, Azure, GCP",83620.0
AI Product Manager,0,Japan,Associate,Small,"Data Visualization, Spark, NLP, Mathematics, Deep Learning",38104.0
AI Architect,4,Germany,Associate,Small,"Python, Scala, Deep Learning, Statistics, Tableau",86317.92
Principal Data Scientist,16,Denmark,Bachelor,Large,"TensorFlow, Deep Learning, Linux, R",274301.0
Machine Learning Engineer,9,United States,Associate,Medium,"NLP, Computer Vision, Tableau, TensorFlow",145626.0
Principal Data Scientist,1,Canada,Associate,Medium,"Azure, Python, Linux, Statistics",74964.0
AI Specialist,8,South Korea,Associate,Medium,"Docker, Python, TensorFlow",88508.0
NLP Engineer,12,Finland,Associate,Medium,"Scala, SQL, Git",104599.0
Research Scientist,5,Netherlands,Bachelor,Large,"Hadoop, Tableau, Deep Learning",170066.52
AI Product Manager,6,United Kingdom,Associate,Small,"Python, Git, Java, Hadoop",191891.7
AI Specialist,13,United States,Master,Large,"NLP, R, Docker, SQL",198340.0
Data Scientist,18,Sweden,Bachelor,Large,"Hadoop, Scala, GCP, Docker",266719.0
Head of AI,1,Germany,Associate,Medium,"PyTorch, TensorFlow, Python, Java",68886.09
NLP Engineer,3,France,Bachelor,Small,"R, Hadoop, Python, Azure, Data Visualization",99029.97
Data Analyst,5,Singapore,Bachelor,Large,"Kubernetes, Computer Vision, Hadoop, Statistics",156699.0
AI Software Engineer,3,Israel,Associate,Large,"GCP, Python, Mathematics",73752.0
Data Engineer,11,Israel,PhD,Medium,"Tableau, GCP, Deep Learning, SQL, Python",175297.0
AI Specialist,5,Germany,PhD,Large,"Tableau, NLP, Hadoop",199568.06999999998
Computer Vision Engineer,18,United States,Master,Large,"Deep Learning, Git, AWS",295058.0
Autonomous Systems Engineer,4,United States,PhD,Medium,"Tableau, MLOps, Kubernetes, SQL",128911.0
Principal Data Scientist,11,Norway,Bachelor,Large,"Spark, Hadoop, Python, Kubernetes",238549.0
AI Software Engineer,5,Japan,PhD,Large,"R, Kubernetes, Data Visualization",105975.0
Data Engineer,14,Switzerland,Bachelor,Large,"SQL, Scala, Kubernetes",310349.0
Data Analyst,0,United States,Associate,Large,"Kubernetes, PyTorch, Hadoop, Data Visualization",85852.0
Computer Vision Engineer,1,Sweden,Associate,Small,"Linux, Hadoop, Deep Learning, Kubernetes, GCP",56379.0
AI Research Scientist,19,United Kingdom,Master,Medium,"Git, GCP, SQL, PyTorch, Mathematics",338068.35000000003
ML Ops Engineer,0,Austria,Bachelor,Medium,"Kubernetes, Java, Mathematics, Computer Vision, Tableau",40697.0
AI Software Engineer,13,Switzerland,PhD,Small,"SQL, PyTorch, Deep Learning, AWS",322318.0
AI Architect,4,Germany,Associate,Large,"Python, TensorFlow, Tableau, R, Linux",111077.45999999999
AI Research Scientist,3,Sweden,Master,Medium,"Python, TensorFlow, GCP, PyTorch, Linux",107924.0
Computer Vision Engineer,2,Finland,Master,Small,"Docker, MLOps, Mathematics, Python",49156.0
Data Scientist,0,Singapore,Associate,Small,"Computer Vision, MLOps, AWS",61384.0
Head of AI,7,Denmark,PhD,Medium,"Java, SQL, Statistics",181091.0
Data Scientist,0,Israel,PhD,Large,"PyTorch, Spark, SQL",43474.0
Machine Learning Engineer,0,Denmark,Bachelor,Small,"Tableau, PyTorch, TensorFlow",82781.0
AI Consultant,1,Netherlands,Bachelor,Large,"Spark, Python, Git, TensorFlow, Tableau",90099.36
Machine Learning Researcher,2,Norway,PhD,Small,"Java, NLP, MLOps, Statistics, Tableau",118788.0
Machine Learning Engineer,8,Sweden,Bachelor,Small,"Python, Hadoop, NLP",101894.0
Data Engineer,1,United States,Associate,Medium,"GCP, TensorFlow, Linux, Python",87139.0
Deep Learning Engineer,2,China,Bachelor,Small,"Linux, GCP, R, Computer Vision, Mathematics",55375.0
Autonomous Systems Engineer,1,Sweden,Master,Small,"Scala, Docker, Tableau",61701.0
AI Consultant,5,Ireland,Bachelor,Small,"Docker, PyTorch, SQL, Linux",68729.0
ML Ops Engineer,1,Australia,Master,Small,"Python, MLOps, Linux, TensorFlow, Deep Learning",56037.0
Research Scientist,14,Singapore,Associate,Medium,"Python, Statistics, Kubernetes, TensorFlow, Mathematics",188436.0
Autonomous Systems Engineer,1,Netherlands,Bachelor,Small,"Docker, R, Mathematics",87840.09
Machine Learning Researcher,11,Canada,Associate,Medium,"Linux, Mathematics, Python, Git, Statistics",230705.0
Autonomous Systems Engineer,9,Switzerland,Associate,Medium,"Kubernetes, Java, Scala, Deep Learning, NLP",156030.0
Principal Data Scientist,1,France,Master,Large,"SQL, Docker, PyTorch, AWS",95945.84999999999
ML Ops Engineer,1,United Kingdom,Master,Small,"Data Visualization, PyTorch, Java, Python, GCP",101364.75
NLP Engineer,2,France,Associate,Small,"Spark, Python, Computer Vision, Scala",85869.81
Machine Learning Researcher,4,Netherlands,Master,Large,"Java, Statistics, Python",118284.65999999999
AI Consultant,0,India,Bachelor,Large,"Python, Data Visualization, MLOps",57535.0
Computer Vision Engineer,4,Australia,Master,Small,"GCP, PyTorch, Deep Learning, MLOps",96824.0
Autonomous Systems Engineer,9,Switzerland,Bachelor,Large,"Java, AWS, Tableau, Spark",217955.0
Research Scientist,1,Singapore,PhD,Small,"Git, Hadoop, Docker",61276.0
AI Consultant,1,Norway,Bachelor,Large,"Kubernetes, MLOps, Deep Learning",104933.0
AI Specialist,19,Israel,Associate,Medium,"Python, R, MLOps",142782.0
Data Scientist,11,Denmark,Bachelor,Large,"Deep Learning, Python, Docker, Linux, MLOps",204726.0
AI Architect,4,China,Master,Small,"Scala, R, Python, AWS, SQL",60005.0
AI Specialist,16,Singapore,PhD,Small,"Scala, Python, MLOps",147711.0
AI Architect,3,Canada,Associate,Medium,"Python, MLOps, Scala, Computer Vision, TensorFlow",71812.0
Data Engineer,3,France,Master,Small,"Deep Learning, Scala, Azure, Kubernetes, Statistics",98435.61
AI Product Manager,8,United Kingdom,Bachelor,Medium,"Kubernetes, Python, TensorFlow, Hadoop",146003.85
AI Architect,2,Denmark,Bachelor,Medium,"Python, Spark, Deep Learning, Java, Git",127345.0
AI Product Manager,16,Canada,Associate,Medium,"Tableau, GCP, R, Linux, SQL",186825.0
Research Scientist,1,Austria,PhD,Large,"Spark, Azure, Java",45317.0
Head of AI,5,Netherlands,Master,Large,"Java, Linux, Hadoop",154175.58
AI Software Engineer,4,Australia,Associate,Medium,"Hadoop, Computer Vision, Data Visualization, Python",88064.0
Machine Learning Engineer,3,Ireland,Bachelor,Large,"Kubernetes, Deep Learning, Computer Vision, PyTorch, GCP",87867.0
ML Ops Engineer,0,India,Master,Large,"Spark, Statistics, SQL, Python, MLOps",43469.0
Data Engineer,16,Germany,Bachelor,Small,"Deep Learning, MLOps, Kubernetes, R",192372.56999999998
NLP Engineer,16,Israel,Bachelor,Large,"R, Python, GCP, SQL",173029.0
Autonomous Systems Engineer,6,Singapore,PhD,Large,"PyTorch, Java, SQL",136693.0
AI Product Manager,7,Netherlands,PhD,Large,"AWS, Scala, Java, Git, SQL",184300.74
Principal Data Scientist,7,Denmark,Master,Large,"Java, R, Scala",174414.0
Principal Data Scientist,4,Finland,PhD,Medium,"Scala, Tableau, TensorFlow, Mathematics",52661.0
Research Scientist,0,Israel,PhD,Medium,"AWS, Linux, SQL",56264.0
Machine Learning Researcher,0,United Kingdom,PhD,Large,"Hadoop, Computer Vision, Scala, PyTorch, MLOps",85500.90000000001
Head of AI,12,Netherlands,Associate,Large,"Scala, Computer Vision, MLOps, Linux, Java",328930.29
Data Scientist,3,Switzerland,Master,Medium,"Python, Git, Scala, GCP, Java",126696.0
AI Software Engineer,7,Germany,Master,Small,"Java, Hadoop, Computer Vision, Kubernetes, Git",133931.06999999998
Research Scientist,13,South Korea,Associate,Small,"Deep Learning, Docker, PyTorch",95654.0
AI Architect,5,India,Bachelor,Small,"MLOps, Kubernetes, Docker",85133.0
Machine Learning Researcher,3,Netherlands,Bachelor,Small,"SQL, Mathematics, PyTorch, Computer Vision",90747.54
ML Ops Engineer,17,Netherlands,Associate,Small,"Java, Git, Scala",212058.99
Data Analyst,11,Singapore,PhD,Medium,"Hadoop, R, NLP",158109.0
Autonomous Systems Engineer,8,China,Master,Small,"Git, Kubernetes, Java",81397.0
Deep Learning Engineer,11,United States,PhD,Small,"Git, PyTorch, AWS, Mathematics, Tableau",175364.0
AI Research Scientist,0,Canada,Bachelor,Small,"Scala, SQL, NLP, Docker, Kubernetes",56957.0
Data Engineer,4,India,Master,Small,"Spark, Kubernetes, Scala, MLOps, Hadoop",63425.0
Deep Learning Engineer,0,India,Master,Large,"R, Kubernetes, Git, Hadoop",42742.0
Machine Learning Engineer,2,France,Associate,Large,"Mathematics, Computer Vision, MLOps",129210.12
AI Consultant,16,United States,Associate,Medium,"TensorFlow, Git, PyTorch, Docker, NLP",266051.0
Computer Vision Engineer,4,India,Bachelor,Large,"AWS, TensorFlow, Statistics",80862.0
Data Analyst,1,Germany,Associate,Large,"Kubernetes, Scala, Tableau, GCP",90725.31
Data Engineer,2,Netherlands,PhD,Medium,"Statistics, TensorFlow, SQL, MLOps, Computer Vision",96455.97
Machine Learning Researcher,2,United States,Bachelor,Medium,"Java, AWS, Python",97999.0
AI Architect,0,Austria,Associate,Small,"Scala, Python, MLOps, R, Java",39951.0
NLP Engineer,7,India,PhD,Medium,"Linux, R, Kubernetes",73113.0
AI Research Scientist,15,Australia,Bachelor,Large,"Python, R, Kubernetes",214971.0
Autonomous Systems Engineer,8,Finland,PhD,Large,"GCP, Scala, Hadoop",113879.0
AI Product Manager,2,United Kingdom,Bachelor,Medium,"AWS, Docker, GCP",120825.00000000001
